,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
315,003620,KR7003620002,KG모빌리티,KOSPI,,3785,2,-115,-2.95,3880,3900,3740,328419,1241895553,743390101390,196404254,STK
316,003530,KR7003530003,한화투자증권,KOSPI,,3450,2,-40,-1.15,3455,3490,3425,543217,1875189998,740189823750,214547775,STK
317,166090,KR7166090001,하나머티리얼즈,KOSDAQ GLOBAL,우량기업부,37400,1,550,1.49,36900,39050,36500,290375,11050942975,739685007600,19777674,KSQ
318,030190,KR7030190003,NICE평가정보,KOSPI,,12380,1,230,1.89,12190,12380,12090,70422,863431830,736691621340,59506593,STK
319,285130,KR7285130001,SK케미칼,KOSPI,,42600,1,50,0.12,42300,42600,41650,36051,1518854125,735011155800,17253783,STK
320,226950,KR7226950004,올릭스,KOSDAQ,기술성장기업부,39450,2,-1100,-2.71,39550,40950,39300,571513,22891387675,734875191750,18628015,KSQ
321,014620,KR7014620009,성광벤드,KOSDAQ,우량기업부,26300,1,550,2.14,25400,26600,25350,375435,9787172425,734520786100,27928547,KSQ
322,030610,KR7030610000,교보증권,KOSPI,,6440,2,-90,-1.38,6530,6530,6400,216947,1394979555,733921468840,113962961,STK
323,213420,KR7213420003,덕산네오룩스,KOSDAQ GLOBAL,우량기업부,29500,2,-650,-2.16,30450,30500,29350,92418,2753020175,732519780500,24831179,KSQ
324,079900,KR7079900007,전진건설로봇,KOSPI,,50100,2,-1400,-2.72,51100,51400,49375,200396,10058669750,731086504500,14592545,STK
325,067630,KR7067630004,HLB생명과학,KOSDAQ,투자주의환기종목(소속부없음),5990,5,-2560,-29.94,5990,6480,5990,8250131,50233891425,730131229090,121891691,KSQ
326,293940,KR7293940003,신한알파리츠,KOSPI,,6030,3,0,0.0,6030,6120,5940,288630,1727026155,729268941690,120940123,STK
327,222800,KR7222800005,심텍,KOSDAQ GLOBAL,우량기업부,22850,1,700,3.16,22550,24200,22500,2408430,56274989825,727867167550,31854143,KSQ
328,025540,KR7025540006,한국단자,KOSPI,,69300,2,-1100,-1.56,70000,71000,69200,53656,3761447617,721759500000,10415000,STK
329,008730,KR7008730004,율촌화학,KOSPI,,28750,1,200,0.7,28000,29000,27650,51064,1458238800,713000000000,24800000,STK
330,002710,KR7002710002,TCC스틸,KOSPI,,27100,2,-150,-0.55,27250,27900,26000,255722,6932481950,710391188700,26213697,STK
